id,Name,Language,FullName,Description,URL,Website,Stars,Created At
992437852,00001-mern-stack-the-complete-full-stack-javascript,JavaScript,aadhar41/00001-mern-stack-the-complete-full-stack-javascript,00001 - MERN Stack - The Complete Full-Stack Javascript Course!,https://github.com/aadhar41/00001-mern-stack-the-complete-full-stack-javascript,,1,2025-05-29T06:43:49Z
1001292236,aadhar-gaur-portfolio-react,TypeScript,aadhar41/aadhar-gaur-portfolio-react,My personal portfolio website ReactJs,https://github.com/aadhar41/aadhar-gaur-portfolio-react,,1,2025-06-13T06:22:07Z
1049748986,aadhar-portfolio-laravel-breeze-reactjs,HTML,aadhar41/aadhar-portfolio-laravel-breeze-reactjs,,https://github.com/aadhar41/aadhar-portfolio-laravel-breeze-reactjs,,1,2025-09-03T12:47:54Z
176128595,aadhar41.github.io,HTML,aadhar41/aadhar41.github.io,Code that'll help you kickstart a personal website that showcases your work as a software developer.,https://github.com/aadhar41/aadhar41.github.io,https://github.dev,1,2019-03-17T16:27:44Z
1117971745,accordion,CSS,aadhar41/accordion,"A React component that displays a list of questions and answers in an accordion style, allowing users to toggle visibility.",https://github.com/aadhar41/accordion,,2,2025-12-17T04:42:48Z
707025772,BirdSquawk-Service,JavaScript,aadhar41/BirdSquawk-Service,"Building Microservices with Node, React and Mongo",https://github.com/aadhar41/BirdSquawk-Service,,1,2023-10-19T04:35:51Z
1117501035,birthday-reminder,CSS,aadhar41/birthday-reminder,A simple React application to manage and view daily birthday reminders.,https://github.com/aadhar41/birthday-reminder,https://birthday-reminder-app-reactjs.netlify.app/,2,2025-12-16T11:59:40Z
670887241,blurry-loading,CSS,aadhar41/blurry-loading,06 Day 5 - Blurry Loading,https://github.com/aadhar41/blurry-loading,,2,2023-07-26T04:18:57Z
731477909,book-reviews,PHP,aadhar41/book-reviews,"This is a Laravel-based web application designed for managing and reading book reviews. It allows users to browse through a collection of books, read detailed reviews, and share their own perspectives. The application aims to provide a clean and organized platform for book lovers.",https://github.com/aadhar41/book-reviews,,2,2023-12-14T07:08:47Z
725864675,Books-React-Book-Listing-Application,JavaScript,aadhar41/Books-React-Book-Listing-Application,A React-based book listing application that displays a curated collection of self-help and motivational books with an interactive user interface.,https://github.com/aadhar41/Books-React-Book-Listing-Application,,2,2023-12-01T02:59:18Z
